TimePeriod,GeoType,GeoID,GeoRank,Geography,Average annual number,"Average annual rate per 10,000"
2017-2019,NTA2010,8127,9,East Elmhurst,54,174.6
2017-2019,NTA2010,8128,9,Jackson Heights,167,131.1
2017-2019,NTA2010,8129,9,Elmhurst,160,154.2
2017-2019,NTA2010,8130,9,Maspeth,25,53.0
2017-2019,NTA2010,8131,9,Hunters Point-Sunnyside-West Maspeth,53,76.8
2017-2019,NTA2010,8133,9,Cambria Heights,26,99.2
2017-2019,NTA2010,8134,9,Queens Village,82,107.6
2017-2019,NTA2010,8135,9,Briarwood-Jamaica Hills,64,116.3
2017-2019,NTA2010,8137,9,Kew Gardens Hills,44,86.6
2017-2019,NTA2010,8138,9,Pomonok-Flushing Heights-Hillcrest,73,144.3
2017-2019,NTA2010,8141,9,Fresh Meadows-Utopia,11,42.2
2017-2019,NTA2010,8142,9,Oakland Gardens,17,40.3
2017-2019,NTA2010,8143,9,Bellerose,14,34.7
2017-2019,NTA2010,8144,9,Glen Oaks-Floral Park-New Hyde Park,7,27.0
2017-2019,NTA2010,8145,9,Douglas Manor-Douglaston-Little Neck,9,24.1
2017-2019,NTA2010,8146,9,Bayside-Bayside Hills,12,20.0
2017-2019,NTA2010,8147,9,Ft. Totten-Bay Terrace-Clearview,7,31.3
2017-2019,NTA2010,8148,9,Auburndale,6,20.6
2017-2019,NTA2010,8149,9,Whitestone,13,31.0
2017-2019,NTA2010,8150,9,Elmhurst-Maspeth,40,129.1
2017-2019,NTA2010,8151,9,Murray Hill,43,79.5
2017-2019,NTA2010,8152,9,East Flushing,21,69.5
2017-2019,NTA2010,8153,9,Woodhaven,99,97.9
2017-2019,NTA2010,8154,9,Richmond Hill,110,103.1
2017-2019,NTA2010,8155,9,South Ozone Park,119,93.0
2017-2019,NTA2010,8156,9,Ozone Park,36,88.4
2017-2019,NTA2010,8157,9,Lindenwood-Howard Beach,15,39.2
2017-2019,NTA2010,8160,9,Kew Gardens,16,58.0
2017-2019,NTA2010,8161,9,Jamaica,149,186.3
2017-2019,NTA2010,8162,9,Queensboro Hill,24,95.2
2017-2019,NTA2010,8163,9,Woodside,50,98.9
2017-2019,NTA2010,8166,9,Laurelton,53,148.1
2017-2019,NTA2010,8168,9,Queensbridge-Ravenswood-Long Island City,73,235.4
2017-2019,NTA2010,8170,9,Astoria,82,115.4
2017-2019,NTA2010,8171,9,Old Astoria,60,194.7
2017-2019,NTA2010,8172,9,Steinway,37,79.9
2017-2019,NTA2010,8176,9,Baisley Park,77,122.4
2017-2019,NTA2010,8501,9,Annadale-Huguenot-Prince's Bay-Eltingville,8,17.5
2017-2019,NTA2010,8505,9,New Springville-Bloomfield-Travis,27,41.3
2017-2019,NTA2010,8507,9,Westerleigh,14,37.9
2017-2019,NTA2010,8508,9,Grymes Hill-Clifton-Fox Hills,50,141.6
2017-2019,NTA2010,8511,9,Charleston-Richmond Valley-Tottenville,8,18.3
2017-2019,NTA2010,8512,9,Mariner's Harbor-Arlington-Port Ivory-Graniteville,92,145.6
2017-2019,NTA2010,8514,9,Grasmere-Arrochar-Ft. Wadsworth,15,59.7
2017-2019,NTA2010,8522,9,West New Brighton-New Brighton-St. George,162,274.9
2017-2019,NTA2010,8524,9,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,12,26.7
2017-2019,NTA2010,8525,9,Oakwood-Oakwood Beach,9,30.1
2017-2019,NTA2010,8528,9,Port Richmond,38,111.0
2017-2019,NTA2010,8532,9,Rossville-Woodrow,10,27.5
2017-2019,NTA2010,8535,9,New Brighton-Silver Lake,29,105.3
2017-2019,NTA2010,8536,9,Old Town-Dongan Hills-South Beach,17,48.3
2017-2019,NTA2010,8537,9,Stapleton-Rosebank,76,177.9
2017-2019,NTA2010,8545,9,New Dorp-Midland Beach,13,43.6
2017-2019,NTA2010,8548,9,Arden Heights,14,33.1
2017-2019,NTA2010,8554,9,Great Kills,17,26.5
2017-2019,Borough,1,1,Bronx,"7,607",308.2
2017-2019,Borough,2,1,Brooklyn,"6,098",155.5
2017-2019,Borough,3,1,Manhattan,"3,309",213.3
2017-2019,Borough,4,1,Queens,"3,378",108.7
2017-2019,Borough,5,1,Staten Island,618,81.7
2017-2019,Citywide,1,0,New York City,"21,010",178.0
2014-2016,NTA2010,501,9,Claremont-Bathgate,442,576.6
2014-2016,NTA2010,503,9,Eastchester-Edenwald-Baychester,273,411.7
2014-2016,NTA2010,505,9,Bedford Park-Fordham North,451,434.2
2014-2016,NTA2010,506,9,Belmont,228,444.4
2014-2016,NTA2010,507,9,Bronxdale,256,395.9
2014-2016,NTA2010,508,9,West Farms-Bronx River,261,384.5
2014-2016,NTA2010,509,9,Soundview-Castle Hill-Clason Point-Harding Park,377,359.9
2014-2016,NTA2010,510,9,Pelham Bay-Country Club-City Island,59,167.0
2014-2016,NTA2010,513,9,Co-op City,151,238.3
2014-2016,NTA2010,514,9,East Concourse-Concourse Village,545,445.8
2014-2016,NTA2010,517,9,East Tremont,457,472.5
2014-2016,NTA2010,522,9,North Riverdale-Fieldston-Riverdale,24,84.1
2014-2016,NTA2010,526,9,Highbridge,283,360.0
2014-2016,NTA2010,527,9,Hunts Point,204,368.5
2014-2016,NTA2010,528,9,Van Cortlandt Village,243,288.6
2014-2016,NTA2010,529,9,Spuyten Duyvil-Kingsbridge,54,144.5
2014-2016,NTA2010,530,9,Kingsbridge Heights,211,380.6
2014-2016,NTA2010,531,9,Allerton-Pelham Gardens,115,225.5
2014-2016,NTA2010,533,9,Longwood,274,502.3
2014-2016,NTA2010,534,9,Melrose South-Mott Haven North,517,590.9
2014-2016,NTA2010,535,9,Morrisania-Melrose,381,442.5
2014-2016,NTA2010,536,9,University Heights-Morris Heights,428,389.6
2014-2016,NTA2010,537,9,Van Nest-Morris Park-Westchester Square,173,308.4
2014-2016,NTA2010,539,9,Mott Haven-Port Morris,767,683.4
2014-2016,NTA2010,540,9,Fordham South,228,404.9
2014-2016,NTA2010,541,9,Mount Hope,453,430.3
2014-2016,NTA2010,543,9,Norwood,443,597.3
2014-2016,NTA2010,544,9,Williamsbridge-Olinville,490,413.7
2014-2016,NTA2010,546,9,Parkchester,144,324.0
2014-2016,NTA2010,549,9,Pelham Parkway,116,274.2
2014-2016,NTA2010,552,9,Schuylerville-Throgs Neck-Edgewater Park,129,170.2
2014-2016,NTA2010,555,9,Soundview-Bruckner,251,362.6
2014-2016,NTA2010,559,9,Westchester-Unionport,139,274.1
2014-2016,NTA2010,562,9,Woodlawn-Wakefield,172,246.5
2014-2016,NTA2010,563,9,West Concourse,329,451.8
2014-2016,NTA2010,575,9,Crotona Park East,151,334.0
2014-2016,NTA2010,4709,9,Brooklyn Heights-Cobble Hill,9,52.9
2014-2016,NTA2010,4717,9,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,64,78.5
2014-2016,NTA2010,4719,9,Brighton Beach,21,56.9
2014-2016,NTA2010,4721,9,Seagate-Coney Island,140,280.4
2014-2016,NTA2010,4723,9,West Brighton,< 4,17.0*
2014-2016,NTA2010,4725,9,Homecrest,18,22.0
2014-2016,NTA2010,4726,9,Gravesend,47,115.2
2014-2016,NTA2010,4727,9,Bath Beach,18,36.8
2014-2016,NTA2010,4728,9,Bensonhurst West,60,44.6
2014-2016,NTA2010,4729,9,Bensonhurst East,34,39.1
2014-2016,NTA2010,4730,9,Dyker Heights,36,50.9
2014-2016,NTA2010,4731,9,Bay Ridge,66,62.4
2014-2016,NTA2010,4732,9,Sunset Park West,103,120.1
2014-2016,NTA2010,4733,9,Carroll Gardens-Columbia Street-Red Hook,70,148.5
2014-2016,NTA2010,4734,9,Sunset Park East,97,84.2
2014-2016,NTA2010,4735,9,Stuyvesant Heights,448,419.7
2014-2016,NTA2010,4737,9,Park Slope-Gowanus,53,68.1
2014-2016,NTA2010,4738,9,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,119,246.7
2014-2016,NTA2010,4740,9,Windsor Terrace,11,43.3
2014-2016,NTA2010,4741,9,Kensington-Ocean Parkway,39,56.6
2014-2016,NTA2010,4742,9,Flatbush,284,167.5
2014-2016,NTA2010,4743,9,Midwood,36,35.4
2014-2016,NTA2010,4744,9,Madison,20,31.4
2014-2016,NTA2010,4745,9,Georgetown-Marine Park-Bergen Beach-Mill Basin,30,34.8
2014-2016,NTA2010,4746,9,Ocean Parkway South,12,28.0
2014-2016,NTA2010,4750,9,Canarsie,293,203.7
2014-2016,NTA2010,4758,9,Flatlands,162,134.3
2014-2016,NTA2010,4760,9,Prospect Lefferts Gardens-Wingate,297,306.3
2014-2016,NTA2010,4761,9,Crown Heights North,591,374.5
2014-2016,NTA2010,4763,9,Crown Heights South,128,189.6
2014-2016,NTA2010,4764,9,Prospect Heights,36,198.2
2014-2016,NTA2010,4768,9,Fort Greene,107,310.9
2014-2016,NTA2010,4769,9,Clinton Hill,67,181.8
2014-2016,NTA2010,4772,9,Williamsburg,33,33.4
2014-2016,NTA2010,4773,9,North Side-South Side,95,146.3
2014-2016,NTA2010,4775,9,Bedford,369,250.1
2014-2016,NTA2010,4776,9,Greenpoint,16,67.0
2014-2016,NTA2010,4777,9,Bushwick North,271,274.3
2014-2016,NTA2010,4778,9,Bushwick South,494,414.1
2014-2016,NTA2010,4779,9,Ocean Hill,262,427.9
2014-2016,NTA2010,4781,9,Brownsville,574,453.6
2014-2016,NTA2010,4782,9,East New York,683,377.1
2014-2016,NTA2010,4783,9,Cypress Hills-City Line,211,230.2
2014-2016,NTA2010,4785,9,East New York (Pennsylvania Ave),247,406.5
2014-2016,NTA2010,4788,9,Borough Park,66,23.1
2014-2016,NTA2010,4790,9,East Williamsburg,96,306.5
2014-2016,NTA2010,4791,9,East Flatbush-Farragut,219,288.8
2014-2016,NTA2010,4793,9,Starrett City,54,307.6
2014-2016,NTA2010,4795,9,Erasmus,167,376.0
2014-2016,NTA2010,4796,9,Rugby-Remsen Village,299,356.7
2014-2016,NTA2010,6101,9,Marble Hill-Inwood,150,205.8
2014-2016,NTA2010,6103,9,Central Harlem North-Polo Grounds,703,575.2
2014-2016,NTA2010,6104,9,Hamilton Heights,188,297.4
2014-2016,NTA2010,6106,9,Manhattanville,142,399.6
2014-2016,NTA2010,6109,9,Morningside Heights,164,360.3
2014-2016,NTA2010,6111,9,Central Harlem South,286,446.2
2014-2016,NTA2010,6112,9,Upper West Side,190,139.0
2014-2016,NTA2010,6113,9,Hudson Yards-Chelsea-Flatiron-Union Square,89,204.9
2014-2016,NTA2010,6114,9,Lincoln Square,34,75.2
2014-2016,NTA2010,6115,9,Clinton,30,130.7
2014-2016,NTA2010,6117,9,Midtown-Midtown South,6,65.7
2014-2016,NTA2010,6119,9,Turtle Bay-East Midtown,7,30.6
2014-2016,NTA2010,6120,9,Murray Hill-Kips Bay,45,222.1
2014-2016,NTA2010,6121,9,Gramercy,12,109.6
2014-2016,NTA2010,6122,9,East Village,21,144.6
2014-2016,NTA2010,6123,9,West Village,16,46.6
2014-2016,NTA2010,6124,9,SoHo-TriBeCa-Civic Center-Little Italy,11,30.6
2014-2016,NTA2010,6125,9,Battery Park City-Lower Manhattan,17,63.5
2014-2016,NTA2010,6127,9,Chinatown,68,163.6
2014-2016,NTA2010,6128,9,Lower East Side,363,382.8
2014-2016,NTA2010,6131,9,Lenox Hill-Roosevelt Island,26,45.0
2014-2016,NTA2010,6132,9,Yorkville,52,79.1
2014-2016,NTA2010,6133,9,East Harlem South,529,659.1
2014-2016,NTA2010,6134,9,East Harlem North,499,508.1
2014-2016,NTA2010,6135,9,Washington Heights North,171,191.8
2014-2016,NTA2010,6136,9,Washington Heights South,283,247.5
2014-2016,NTA2010,6140,9,Upper East Side-Carnegie Hill,13,16.9
2014-2016,NTA2010,6150,9,Stuyvesant Town-Cooper Village,7,51.7
2014-2016,NTA2010,8101,9,South Jamaica,190,249.5
2014-2016,NTA2010,8102,9,Springfield Gardens North,59,149.2
2014-2016,NTA2010,8103,9,Springfield Gardens South-Brookville,49,131.0
2014-2016,NTA2010,8105,9,Rosedale,48,100.9
2014-2016,NTA2010,8106,9,Jamaica Estates-Holliswood,29,85.0
2014-2016,NTA2010,8107,9,Hollis,49,149.9
2014-2016,NTA2010,8108,9,St. Albans,138,160.1
2014-2016,NTA2010,8110,9,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,28,66.1
2014-2016,NTA2010,8112,9,Hammels-Arverne-Edgemere,160,225.3
2014-2016,NTA2010,8115,9,Far Rockaway-Bayswater,167,164.8
2014-2016,NTA2010,8117,9,Forest Hills,34,39.6
2014-2016,NTA2010,8118,9,Rego Park,19,63.1
2014-2016,NTA2010,8119,9,Glendale,51,98.6
2014-2016,NTA2010,8120,9,Ridgewood,183,159.7
2014-2016,NTA2010,8121,9,Middle Village,29,58.5
2014-2016,NTA2010,8122,9,Flushing,69,95.5
2014-2016,NTA2010,8123,9,College Point,40,104.7
2014-2016,NTA2010,8125,9,Corona,156,172.7
2014-2016,NTA2010,8126,9,North Corona,162,184.1
2014-2016,NTA2010,8127,9,East Elmhurst,60,163.6
2014-2016,NTA2010,8128,9,Jackson Heights,206,145.2
2014-2016,NTA2010,8129,9,Elmhurst,176,156.0
2014-2016,NTA2010,8130,9,Maspeth,32,78.0
2014-2016,NTA2010,8131,9,Hunters Point-Sunnyside-West Maspeth,61,90.2
2014-2016,NTA2010,8133,9,Cambria Heights,33,121.4
2014-2016,NTA2010,8134,9,Queens Village,92,114.6
2014-2016,NTA2010,8135,9,Briarwood-Jamaica Hills,83,154.6
2014-2016,NTA2010,8137,9,Kew Gardens Hills,40,72.0
2014-2016,NTA2010,8138,9,Pomonok-Flushing Heights-Hillcrest,94,191.9
2014-2016,NTA2010,8141,9,Fresh Meadows-Utopia,11,38.3
2014-2016,NTA2010,8142,9,Oakland Gardens,12,30.2
2014-2016,NTA2010,8143,9,Bellerose,22,56.8
2014-2016,NTA2010,8144,9,Glen Oaks-Floral Park-New Hyde Park,6,25.5
2014-2016,NTA2010,8145,9,Douglas Manor-Douglaston-Little Neck,11,28.9
2014-2016,NTA2010,8146,9,Bayside-Bayside Hills,19,30.2
2014-2016,NTA2010,8147,9,Ft. Totten-Bay Terrace-Clearview,8,36.1
2014-2016,NTA2010,8148,9,Auburndale,11,38.7
2014-2016,NTA2010,8149,9,Whitestone,10,21.7
2014-2016,NTA2010,8150,9,Elmhurst-Maspeth,48,136.4
2014-2016,NTA2010,8151,9,Murray Hill,57,98.5
2014-2016,NTA2010,8152,9,East Flushing,32,97.1
2014-2016,NTA2010,8153,9,Woodhaven,154,143.3
2014-2016,NTA2010,8154,9,Richmond Hill,169,147.6
2014-2016,NTA2010,8155,9,South Ozone Park,166,120.1
2014-2016,NTA2010,8156,9,Ozone Park,50,124.8
2014-2016,NTA2010,8157,9,Lindenwood-Howard Beach,21,54.2
2014-2016,NTA2010,8160,9,Kew Gardens,27,94.2
2014-2016,NTA2010,8161,9,Jamaica,193,222.4
2014-2016,NTA2010,8162,9,Queensboro Hill,25,87.8
2014-2016,NTA2010,8163,9,Woodside,61,110.0
2014-2016,NTA2010,8166,9,Laurelton,60,146.7
2014-2016,NTA2010,8168,9,Queensbridge-Ravenswood-Long Island City,88,296.0
2014-2016,NTA2010,8170,9,Astoria,79,104.1
2014-2016,NTA2010,8171,9,Old Astoria,76,200.8
2014-2016,NTA2010,8172,9,Steinway,46,96.7
2014-2016,NTA2010,8176,9,Baisley Park,125,182.9
2014-2016,NTA2010,8501,9,Annadale-Huguenot-Prince's Bay-Eltingville,14,30.3
2014-2016,NTA2010,8505,9,New Springville-Bloomfield-Travis,33,53.7
2014-2016,NTA2010,8507,9,Westerleigh,22,60.5
2014-2016,NTA2010,8508,9,Grymes Hill-Clifton-Fox Hills,51,139.5
2014-2016,NTA2010,8511,9,Charleston-Richmond Valley-Tottenville,20,45.7
2014-2016,NTA2010,8512,9,Mariner's Harbor-Arlington-Port Ivory-Graniteville,105,176.3
2014-2016,NTA2010,8514,9,Grasmere-Arrochar-Ft. Wadsworth,24,100.6
2014-2016,NTA2010,8522,9,West New Brighton-New Brighton-St. George,171,278.3
2014-2016,NTA2010,8524,9,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,16,35.8
2014-2016,NTA2010,8525,9,Oakwood-Oakwood Beach,13,39.3
2014-2016,NTA2010,8528,9,Port Richmond,55,155.5
2014-2016,NTA2010,8532,9,Rossville-Woodrow,17,48.2
2014-2016,NTA2010,8535,9,New Brighton-Silver Lake,33,104.6
2014-2016,NTA2010,8536,9,Old Town-Dongan Hills-South Beach,22,60.4
2014-2016,NTA2010,8537,9,Stapleton-Rosebank,76,162.2
2014-2016,NTA2010,8545,9,New Dorp-Midland Beach,15,48.6
2014-2016,NTA2010,8548,9,Arden Heights,14,33.6
2014-2016,NTA2010,8554,9,Great Kills,24,35.5
2014-2016,Borough,1,1,Bronx,"10,479",406.7
2014-2016,Borough,2,1,Brooklyn,"7,808",190.6
2014-2016,Borough,3,1,Manhattan,"4,178",267.5
2014-2016,Borough,4,1,Queens,"4,210",129.6
2014-2016,Borough,5,1,Staten Island,739,95.5
2014-2016,Citywide,1,0,New York City,"27,415",223.7
